Technology ID,Technology Name,Problem,Solution,Benefits/Advantages,Potential Commercial Applications,Technology Categories,Associated Researcher(s),Post date,IP Status,Number (if available),IP Status Text,Tags,Inquiries,Edit Record,f_tech name+gtrcID,GTRC Page,Assessment,Form Link to Express Interest
2463,Contact Potential Difference Sensor to Monitor Flowing Oil Properties,"A method and system using a contact potential sensor to monitor properties of flowing oil
Inventors at Georgia Tech have developed a method and system for contact potential sensing of dielectric properties of a fluid. This electrochemical sensor can continually evaluate the condition of lubricating oil. It can provide data on not only the motor oil but also the engine it‚Äôs protecting. The method and system include a contact potential sensor, an open or closed loop for passing a fluid past the sensor, measuring a contact potential to characterize dielectric properties of the fluid and outputting the dielectric property information for analysis and response.¬†
","Inventors at Georgia Tech have developed a method and system for contact potential sensing of dielectric properties of a fluid. This electrochemical sensor can continually evaluate the condition of lubricating oil. It can provide data on not only the motor oil but also the engine it‚Äôs protecting. The method and system include a contact potential sensor, an open or closed loop for passing a fluid past the sensor, measuring a contact potential to characterize dielectric properties of the fluid and outputting the dielectric property information for analysis and response.¬†","Real-time: provides real-time electrochemical analysis of engine oil by placing sensors in the oil flow
Cheaper: by monitoring for early signs of engine damage, this technology can help avoid expensive repairs
Increased oil life expectancy: owners can extract maximum life from their increasingly expensive motor oil
","Monitoring flowing oil, fluids, or other gaseous environments
",Chemicals,"Steven Danyluk,Anatoly Zharin",1/7/2020,,,,Chemicals,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/rec2YdIU8Rh2hmMyV,2463- Contact Potential Difference Sensor to Monitor Flowing Oil Properties,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
2839,Detecting Change of Dielectric Constant ,"A method for detecting materials by using a ring resonator
Georgia Tech inventors have developed a method for detecting materials by using a ring resonator. The change in the power of the electromagnetic wave in the circular resonator which is in contact with the selected material enables the sensing function to occur and the material detection to take¬†The apparatus developed consists of input and output waveguides in close proximity to the circular resonator. The resonator is bonded to a material that needs to be identified or detected. This bonding causes a change in the effective dielectric constant of the resonator and in turn changes the electromagnetic wave intensity within the resonator. The change in intensity of the electromagnetic wave is detected by the output waveguide and this determines qualitative and quantitative aspects of the material to be detected.
",Georgia Tech inventors have developed a method for detecting materials by using a ring resonator. The change in the power of the electromagnetic wave in the circular resonator which is in contact with the selected material enables the sensing function to occur and the material detection to take¬†The apparatus developed consists of input and output waveguides in close proximity to the circular resonator. The resonator is bonded to a material that needs to be identified or detected. This bonding causes a change in the effective dielectric constant of the resonator and in turn changes the electromagnetic wave intensity within the resonator. The change in intensity of the electromagnetic wave is detected by the output waveguide and this determines qualitative and quantitative aspects of the material to be detected.,"
Enables detection of materials based on changes to the effective dielectric constant of a circular resonator
Measures the index of refraction to detect the change in optical wavelength that is occurring
Able to detect the power of the electromagnetic wave in the circular resonator at resonance condition and/or during build-up stage
Qualitative and quantitative detection of the selected material is enabled when used as a sensor
","Gas and chemical substance sensing¬†
Room air monitoring for energy-efficient control of air conditioning systems¬†
Calorific value determination¬†
Hazardous substance detection¬†
","Biological,Chemical","Kimsey T. Pollard,Zhiping J. Zhou",8/11/2019,U.S. Patent Issued,US7106429B2,,"Chemicals,Biological",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recW99T1aepCfJLPx,2839- Detecting Change of Dielectric Constant ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
2888,"Advancing Multi-Band, Multi-Mode Radio Frequency (RF) Technology","A highly versatile method for designing and fabricating optimized telecommunications devices
This technology is a unique method of fabricating a multi-band, multi-mode integrated RF transceiver with organic substrates that can be reused at different frequency ranges. It is designed to reduce the number of components required for an RF device to support a variety of wireless standards and applications. The Georgia Tech research team used on-chip active components and in-package high-performance passive components, which are embedded in organic substrates that can be reused at different frequency ranges. Specifically, this innovative RF transceiver includes two unique mechanisms‚Äîvoltage-controlled oscillators and low-noise amplifiers‚Äîthat can be formed using organic substrates, such as liquid crystalline polymer. Reuse of the substrates helps to overcome power consumption, compatibility, interference, and integration challenges of other multi-band and multi-mode devices.
","This technology is a unique method of fabricating a multi-band, multi-mode integrated RF transceiver with organic substrates that can be reused at different frequency ranges. It is designed to reduce the number of components required for an RF device to support a variety of wireless standards and applications. The Georgia Tech research team used on-chip active components and in-package high-performance passive components, which are embedded in organic substrates that can be reused at different frequency ranges. Specifically, this innovative RF transceiver includes two unique mechanisms‚Äîvoltage-controlled oscillators and low-noise amplifiers‚Äîthat can be formed using organic substrates, such as liquid crystalline polymer. Reuse of the substrates helps to overcome power consumption, compatibility, interference, and integration challenges of other multi-band and multi-mode devices.","Efficient: Increases transceiver capabilities while maintaining economical power consumption through reusable organic substrates
Adaptable: Grants access to multiple frequency ranges in the same device
Easily integrated: Offers implementation in small form factor module with less than 1.1-millimeter thickness
","This multi-band RF transceiver may have important communications applications, including in technology such as:

Cellular and wireless devices
Satellite and digital television
Ultra-wideband devices
Local multi-point/multi-channel distribution services
","Signal Processing,Wireless,Hardware,Networks","Venkatesh Sundraram,Madhavan Swaminathan,George White,Vinu Govind,Sidharth Dalmia,Amit Bavisi",12/16/2020,U.S. Patent Issued,US7489914B2,,"Signal Processing,Wireless,Hardware,Networks",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/rec8i8mf6gMIVLemQ,"2888- Advancing Multi-Band, Multi-Mode Radio Frequency (RF) Technology",https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
2922,Three-Dimensionally Textured Photovoltaic (PV) Cells  ,"A light-trapping solution to significantly increase absorption
These novel carbon nanotube (CNT)-based textured PV cells permit greater energy absorption‚Äîa significant advantage over traditional PV cells that offers multiple benefits for both terrestrial and space-based applications. Developed at Georgia Tech, these 3D PVs can be scaled to form large, periodic arrays of vertically aligned CNTs. Common thin-film PV materials (e.g., cadmium telluride [CdTe], copper zinc tin sulfide [CZTS], or perovskite) are deposited on the upper side of each array. These innovative materials act as a 3D scaffolding of sorts‚Äîa structure that provides a light-trapping effect that produces more power at off-normal angles without requiring additional sun-tracking machinery.

Specifically, the 3D geometry enables multiple photon impingements and therefore an increased number of interactions between a photon and a photoabsorber. The result is a greater likelihood of absorption and a resulting increase in photocurrent and power output as compared with similar planar cells.

For space-based applications in particular, the increased power output should yield an increased energy output as the sun subtends all zenith/beta angles. Such arrays are being tested for efficacy on the International Space Station as part of the Materials International Space Station Experiment (MISSE)-11, MISSE-12, and NanoRacks External Platform (NREP)-1 missions.
","These novel carbon nanotube (CNT)-based textured PV cells permit greater energy absorption‚Äîa significant advantage over traditional PV cells that offers multiple benefits for both terrestrial and space-based applications. Developed at Georgia Tech, these 3D PVs can be scaled to form large, periodic arrays of vertically aligned CNTs. Common thin-film PV materials (e.g., cadmium telluride [CdTe], copper zinc tin sulfide [CZTS], or perovskite) are deposited on the upper side of each array. These innovative materials act as a 3D scaffolding of sorts‚Äîa structure that provides a light-trapping effect that produces more power at off-normal angles without requiring additional sun-tracking machinery.Specifically, the 3D geometry enables multiple photon impingements and therefore an increased number of interactions between a photon and a photoabsorber. The result is a greater likelihood of absorption and a resulting increase in photocurrent and power output as compared with similar planar cells.For space-based applications in particular, the increased power output should yield an increased energy output as the sun subtends all zenith/beta angles. Such arrays are being tested for efficacy on the International Space Station as part of the Materials International Space Station Experiment (MISSE)-11, MISSE-12, and NanoRacks External Platform (NREP)-1 missions.","
Powerful: Improves probability of absorption via a novel light-trapping geometry
Practical: Eliminates the need for heavy, complex, costly, and failure-prone mechanical systems required by traditional planar PV cells to track the sun
Reliable: Improves photon absorption probability even at off-normal azimuth angles, leading to more predictable performance across all seasons for terrestrial applications
","Georgia Tech‚Äôs technology is well suited to increasing the power and reliability of both space-based and terrestrial applications that benefit from solar-generated power, including:

Earth-orbiting satellites
Space missions within Mars‚Äôs orbit
Specialty space-based power systems
Solar vehicles
Solar farms
Concentrator photovoltaics
","Generation,Storage,Nanotechnology",William Judson Ready,8/19/2020,U.S. Patent Issued,US8350146B2,,"Generation,Storage,Nanotechnology",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recBXOuqBc9BiMsUL,2922- Three-Dimensionally Textured Photovoltaic (PV) Cells  ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
3080,OptiFlo - A Single Ventricle Heart Repair Device ,"A device for improved blood flow control and energy loss in single ventricle heart surgery.
Inventors at Georgia Tech have developed a device for TCPC, which optimizes blood flow, reduces energy loss for the heart, and provides an equal amount of blood to both lungs. This device reduces the workload of the single ventricle by altering the connection design of the TCPC. The new connection design allows for improved regulation of blood flow in and out of the single ventricle. This results in improved fluid mechanics and reduced energy dissipation at the connection site, which reduces the pressure build-up in blood vessels and improves transport of de-oxygenated blood to the lungs. Overall, this device will allow for better control of blood flow through the heart to improve quality of life of the patient.
","Inventors at Georgia Tech have developed a device for TCPC, which optimizes blood flow, reduces energy loss for the heart, and provides an equal amount of blood to both lungs. This device reduces the workload of the single ventricle by altering the connection design of the TCPC. The new connection design allows for improved regulation of blood flow in and out of the single ventricle. This results in improved fluid mechanics and reduced energy dissipation at the connection site, which reduces the pressure build-up in blood vessels and improves transport of de-oxygenated blood to the lungs. Overall, this device will allow for better control of blood flow through the heart to improve quality of life of the patient.","- Improved quality of life­– optimizes blood flow and improves post-operative results by reducing recovery time
- Assistive– reduces work for single ventricle
- Controllable – proposed device regulates blood flow and pressure","Medical applications for treatment of chronic disease/conditions

Cardiovascular disease
Respiratory disease
",Medical Devices,"Ajit Yoganathan,Dennis Dam Soerensen",3/14/2019,U.S. Patent Issued,US7811244B2,,Medical Devices,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recwTTGq3xvbBncY3,3080- OptiFlo - A Single Ventricle Heart Repair Device ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
3091,Rotary Mechanism for Lab-on-a-Chip Microvalves,"Novel micromechanism provides rotational motion for applications in microfluidic and other MEMS devices
This invention features a novel in-plane rotary bistable mechanism (IPRBM) that can produce rotational motion in microelectromechanical system (MEMS) devices. Designed particularly for use in microfluidic systems, this MEMS component overcomes the limited mechanical displacement provided by typical linear micromechanisms. Georgia Tech researchers have leveraged this IPRBM to produce a rotary gate microvalve that operates on a chip with a small sample volume, rapid response time, and low power consumption while maintaining a high flow rate. It relies on the bistable mechanism to provide rotary motion and regulate the flow path of the microvalve design. This rotary mechanism has several additional applications, including in opto-MEMS devices, biomedical devices, microlocks, and sensors.
",,"
Versatile: Has an adaptable design that can be adjusted based on the substances in use, stability requirements, and shape of the device
Efficient: Manages a high flow rate while maintaining a low power consumption
Widely applicable: Demonstrates potential for use in a wide range of microdevices that require rotational motion
","Microfluidic systems
Microlocks
Optical shutters and switches
Angular sensors
Biomedical devices","Electronic/Conductive,Environmental,MEMS/NEMS,Devices,Sensors","Peter J. Hesketh,Rajesh Luharuka",8/17/2020,U.S. Patent Issued,US8220777B2,,"Electronic/Conductive,Environmental,MEMS/NEMS,Devices,Sensors",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recZ7HCk2cuunkfPN,3091- Rotary Mechanism for Lab-on-a-Chip Microvalves,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
3103,Dual Electrode Ultrasonic Transducers ,"A method to optimize ultrasonic imaging using electrodes
Georgia Tech inventors have developed a method to fabricate separate transmitting and receiving electrodes for the cMUT elements.¬† The size and orientation of the transmitting electrodes are chosen to maximize transmitting power, and the locations are chosen to minimize the destructive capacitance between transmitting and receiving electrodes.¬† The receiving electrodes are likewise optimized.¬† This method allows for both the transmitting and receiving signals to be optimized, rather than just the transmitting signal.¬† Additionally, the technology can be adapted to generate multiple receiving signals from a single transmitting electrode, which could reduce dead zones in imaging.¬† These improve images can strongly benefit the healthcare industry, improving quality of information healthcare professionals receive from testing, therefore improving patient experience.¬†
","Georgia Tech inventors have developed a method to fabricate separate transmitting and receiving electrodes for the cMUT elements.¬† The size and orientation of the transmitting electrodes are chosen to maximize transmitting power, and the locations are chosen to minimize the destructive capacitance between transmitting and receiving electrodes.¬† The receiving electrodes are likewise optimized.¬† This method allows for both the transmitting and receiving signals to be optimized, rather than just the transmitting signal.¬† Additionally, the technology can be adapted to generate multiple receiving signals from a single transmitting electrode, which could reduce dead zones in imaging.¬† These improve images can strongly benefit the healthcare industry, improving quality of information healthcare professionals receive from testing, therefore improving patient experience.¬†","
Optimized ‚Äì allows for both transmitting and receiving signals to be optimized
Reduced Interference ‚Äì reduces interference in receiving and transmitting signals to reduce dead zones
","Ultrasound imaging
Healthcare
","Electronic/Conductive,Medical Devices,Electronic",F. Levent Degertekin,3/14/2019,U.S. Patent Issued,US8076821B2,,"Electronic/Conductive,Medical Devices,Electronic",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recJkU5v1sYUHoUff,3103- Dual Electrode Ultrasonic Transducers ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
3131,Paraunitary Asymmetric Cryptosystem (PAC),"Multivariate paraunitary asymmetric cryptographic systems and methods based on paraunitary matrices
Georgia Tech inventors have created multivariate paraunitary asymmetric cryptographic systems and methods based on paraunitary matrices. The cryptographic systems and methods are based on formulating a system of multivariate polynomial equations by paraunitary matrices. These matrices are a family of invertible polynomial matrices that can be completely parameterized and efficiently generated by primitive building blocks. Using a general formulation involving paraunitary matrices, a one-way function is designed that operates over the fields of characteristic two. Approximations made to a paraunitary matrix result in a trapdoor one-way function that is efficient to evaluate, but hard to invert without secret information about the trapdoor.
","Georgia Tech inventors have created multivariate paraunitary asymmetric cryptographic systems and methods based on paraunitary matrices. The cryptographic systems and methods are based on formulating a system of multivariate polynomial equations by paraunitary matrices. These matrices are a family of invertible polynomial matrices that can be completely parameterized and efficiently generated by primitive building blocks. Using a general formulation involving paraunitary matrices, a one-way function is designed that operates over the fields of characteristic two. Approximations made to a paraunitary matrix result in a trapdoor one-way function that is efficient to evaluate, but hard to invert without secret information about the trapdoor.","
Short key size
Short key-setup time
Low complexity
Fast encryption and decryption
Maintained security
Flexible design
","Exchanging keys
Digital signatures
Data authentication schemes",Data Analytics,"Faramarz Fekri,Farshid Delgosha",3/26/2019,U.S. Patent Issued,US8019079,,Data Analytics,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/recfcoAMxnV9EPsuX,3131- Paraunitary Asymmetric Cryptosystem (PAC),https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
3201,Electron Deficient Materials for Use in Electronics ,"Charge-transport materials that have electron deficiencies and are ideal for use in electronics
Georgia Tech inventors have created charge-transport materials that have electron deficiencies and are ideal for use in electronics. They have developed charge-transport materials; polymers, co-polymers, and homopolymers, including charge-transport materials; polymer layers including charge-transport materials; and devices including charge-transport materials.¬†
","Georgia Tech inventors have created charge-transport materials that have electron deficiencies and are ideal for use in electronics. They have developed charge-transport materials; polymers, co-polymers, and homopolymers, including charge-transport materials; polymer layers including charge-transport materials; and devices including charge-transport materials.¬†","
Higher electron mobilities
","Light emitting diodes (LEDs)
Field effect transistors
Photovoltaic devices
Sensors
","Electronic Devices,Polymers/Membranes,Electronic/Conductive","Seth Marder,Bernard Kippelen,Benoit Domercq,Bilal Kaafarani,Stephen Barlow",3/26/2019,U.S. Patent Issued,US7994423B2,,"Electronic Devices,Polymers/Membranes,Electronic/Conductive",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/rec2JKkpfeETEfGjD,3201- Electron Deficient Materials for Use in Electronics ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
3202,Metal Compounds for Use in Electronics ,"The use of molecular and polymeric transition- metal compounds as charge-transport materials in electronic applications 
Georgia Tech inventors have created charge-transport materials; crystals, nanocrystals, liquid crystals, glasses, composites, polymers, co-polymers, and homopolymers including charge-transport materials; polymer layers including charge-transport materials, crystals, nanocrystals, liquid crystals, glasses, composites; and devices including charge-transport materials.¬†One exemplary charge-transport material, among others, includes a transition-metal charge-transport material monomer having a structure of Formula I:M is selected from one of the following: nickel (II), palladium (II), platinum (II), cobalt (I), iridium (I), rhodium (I), copper (II), copper (III), silver (III), and gold (III). L and L‚Ä≤ can each be independently selected from one or more of the following groups: halogens, NR3, PR3, NCS, SCN, and CN.
","Georgia Tech inventors have created charge-transport materials; crystals, nanocrystals, liquid crystals, glasses, composites, polymers, co-polymers, and homopolymers including charge-transport materials; polymer layers including charge-transport materials, crystals, nanocrystals, liquid crystals, glasses, composites; and devices including charge-transport materials.¬†One exemplary charge-transport material, among others, includes a transition-metal charge-transport material monomer having a structure of Formula I:M is selected from one of the following: nickel (II), palladium (II), platinum (II), cobalt (I), iridium (I), rhodium (I), copper (II), copper (III), silver (III), and gold (III). L and L‚Ä≤ can each be independently selected from one or more of the following groups: halogens, NR3, PR3, NCS, SCN, and CN.","
Potential for strong intermolecular overlap
Low reorganization energies
Tunability of redox potential
Glass, crystal, liquid-crystal forming abilities
","Transport materials
Light emiting diodes
Field effect transistors
Photovoltaic devices
Sensors
Phototransistors
Radio frequency ID tags
Detectors


","Polymers/Membranes,Semiconductors","Seth Marder,Bernard Kippelen",3/15/2019,U.S. Patent Issued,US7842830B2,,"Polymers/Membranes,Semiconductors",,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7/rec8Tde337wR61S5Z,3202- Metal Compounds for Use in Electronics ,https://licensing.research.gatech.edu/technologies,,https://web.miniextensions.com/B9bhAseqAfEo5DpejEq7
